window_id,source_stage,symbol,reference_label,final_regime,confidence,raw_up_score,raw_down_score,raw_flat_score,raw_unknown_score,clamped_up_score,clamped_down_score,clamped_flat_score,clamped_unknown_score,top1_raw_regime,top1_raw_score,top2_raw_regime,top2_raw_score,score_gap_raw_top2,top1_clamped_regime,top1_clamped_score,top2_clamped_regime,top2_clamped_score,score_gap_clamped_top2,selected_regime_before_fallback,selected_regime_after_fallback,fallback_triggered,fallback_reason,confidence_final,safety_ok,notes
btc_15m_expected_down_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,,,,,1.0,1.0,0.55,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
btc_15m_expected_flat_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,,,,,1.0,1.0,0.6000000000000001,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
btc_15m_expected_unknown_or_mixed_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,,,,,1.0,1.0,0.2,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
btc_15m_recent_baseline_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,,,,,1.0,1.0,0.5920000000000001,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
btc_15m_expected_up_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,,,,,1.0,1.0,0.2,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
eth_15m_expected_down_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,,,,,1.0,1.0,0.625,0.25,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
eth_15m_expected_flat_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,,,,,1.0,1.0,0.5548387096774194,0.1,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
eth_15m_expected_unknown_or_mixed_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,,,,,1.0,1.0,0.5230769230769231,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
eth_15m_recent_baseline_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,,,,,1.0,1.0,0.5957446808510638,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
eth_15m_expected_up_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,,,,,1.0,1.0,0.2,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
sol_15m_expected_down_001,ENGINE-TREND-15,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,,,,,1.0,1.0,0.2,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
sol_15m_expected_flat_001,ENGINE-TREND-15,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,,,,,1.0,1.0,0.5511111111111111,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
sol_15m_expected_unknown_or_mixed_001,ENGINE-TREND-15,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,,,,,1.0,1.0,0.5454545454545454,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
sol_15m_recent_baseline_001,ENGINE-TREND-15,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,,,,,1.0,1.0,0.5833333333333334,0.0,,,,,,UP,1.0,DOWN,1.0,0.0,UP,UNKNOWN,True,COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN,0.3,True,Trace-only observation; clamped ranking remains the decision path.
